Posizione lavorativa,Percentuale,Frequenza
Prestazione d’opera occasionale,0.1,4
Lav. a domicilio per imprese,0.2,7
Coadiuvante familiare,0.4,11
Apprendista,0.4,12
Collaborazione coordinata e continuativa (con o senza progetto),1.4,43
Socio di cooperativa,1.5,45
Dirigente,2.4,73
Lavoratore in proprio,2.7,82
Imprenditore,3.1,94
Preferisco non rispondere,4.7,139
Operaio subalterno e assimilati,6.3,186
Direttivo/quadro,7.5,224
Libero professionista,23.4,702
Impiegato intermedio,45.9,1379
